	Motif_ID	TF_Names
0	M00008_2.00	Hmga1::Hmga1-rs1
1	M00044_2.00	Foxp3
2	M00056_2.00	Hesx1::Prrxl1
3	M00060_2.00	Hsf4
4	M00111_2.00	Tfap2a::Tfap2d
5	M00112_2.00	Tfap2b::Tfap2d
6	M00113_2.00	Tfap2c::Tfap2d
7	M00114_2.00	Tfap2d::Tfap2e
8	M00115_2.00	Arid3a::Arid3c
9	M00116_2.00	Arid5a
10	M00117_2.00	Ascl2
11	M00118_2.00	Tcf3
12	M00119_2.00	Bhlhe40
13	M00120_2.00	Myf6
14	M00121_2.00	Max
15	M00122_2.00	Max
16	M00123_2.00	Mafk
17	M00124_2.00	Atf1
18	M00125_2.00	Jdp2
19	M00126_2.00	Mafb
20	M00127_2.00	EDL38120.1
21	M00128_2.00	Bcl6b
22	M00129_2.00	Glis2
23	M00130_2.00	Plagl1
24	M00131_2.00	Zscan26
25	M00132_2.00	Osr2
26	M00133_2.00	Sp4::Sp8::Sp9
27	M00134_2.00	Klf2::Klf7
28	M00135_2.00	Zbtb7b
29	M00136_2.00	Mtf1
30	M00137_2.00	Zic1::Zic4
31	M00138_2.00	Egr1
32	M00139_2.00	Zfp281
33	M00140_2.00	Zfp410
34	M00141_2.00	Hic1::Hic2
35	M00142_2.00	Zfp691
36	M00143_2.00	Zfp740
37	M00144_2.00	Osr1
38	M00145_2.00	Zbtb14
39	M00146_2.00	Zbtb12
40	M00147_2.00	Zscan4b::Zscan4c::Zscan4d::Zscan4f
41	M00148_2.00	Zfp105
42	M00149_2.00	Zfp128
43	M00150_2.00	Zic2::Zic4
44	M00151_2.00	Zic3::Zic4
45	M00152_2.00	Zbtb3
46	M00153_2.00	E2f3
47	M00154_2.00	E2f2
48	M00155_2.00	Spi1
49	M00156_2.00	Elf3
50	M00157_2.00	Erf::Gabpa
51	M00158_2.00	Ehf
52	M00159_2.00	Spdef
53	M00160_2.00	Foxd2::Foxi2::Foxi3::Foxj3::Foxk2::Foxp3::Foxp4
54	M00161_2.00	Foxj1
55	M00162_2.00	Foxa2::Foxb2
56	M00163_2.00	Foxk1::Foxk2
57	M00164_2.00	Foxd2::Foxd4::Foxe1::Foxe3::Foxf1::Foxf2::Foxi2::Foxi3::Foxl1::Foxs1
58	M00165_2.00	Gata6
59	M00166_2.00	Gata3
60	M00167_2.00	Gata5
61	M00168_2.00	Gcm1::Gcm2
62	M00169_2.00	Six6
63	M00170_2.00	Nkx3-1
64	M00171_2.00	Hnf1a
65	M00172_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxa3::Hoxb1::Hoxb2::Hoxd4::Prrxl1
66	M00173_2.00	Irf9
67	M00174_2.00	Irf3
68	M00175_2.00	Irf4
69	M00176_2.00	Irf6
70	M00177_2.00	Irf5
71	M00178_2.00	Srf
72	M00179_2.00	Myb
73	M00180_2.00	Mybl1
74	M00181_2.00	Nr4a3::Nr6a1::Ppard::Rxra::Thrb
75	M00182_2.00	Hnf4a::Nr6a1
76	M00183_2.00	Esrra
77	M00184_2.00	Nr1h5::Nr2f2::Nr4a3::Nr6a1::Ppard::Thrb
78	M00185_2.00	Nr1h5::Nr6a1::Ppard::Rara
79	M00186_2.00	Rfx4::Rfx8
80	M00187_2.00	Rfx5::Rfx7
81	M00188_2.00	Rfx3::Rfx8
82	M00189_2.00	Sp100
83	M00190_2.00	Gmeb1
84	M00191_2.00	Sp140::XP_001473574.2
85	M00192_2.00	Smad3
86	M00193_2.00	Tcf7
87	M00194_2.00	Hbp1
88	M00195_2.00	Cic
89	M00196_2.00	Bbx
90	M00197_2.00	Sox8
91	M00198_2.00	Tcf7l2
92	M00199_2.00	Sox17
93	M00200_2.00	Lef1
94	M00201_2.00	Sox30
95	M00202_2.00	Sox15
96	M00203_2.00	Sox5
97	M00204_2.00	Sox18
98	M00205_2.00	Sox12
99	M00206_2.00	Sox14
100	M00207_2.00	Tcf7l1
101	M00208_2.00	Sox21
102	M00209_2.00	Sox7
103	M00210_2.00	Sox11
104	M00211_2.00	Sry
105	M00212_2.00	Sox13
106	M00213_2.00	Sox4
107	M00214_2.00	Sox1
108	M00215_2.00	Eomes
109	M00216_2.00	Tbp::Tbpl2
110	M00224_2.00	Klf2
111	M00226_2.00	Klf2
112	M00232_2.00	Egr4
113	M00233_2.00	Egr4
114	M00241_2.00	Klf10::Klf11
115	M00242_2.00	Klf10::Klf11
116	M00253_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxp4::Foxs1
117	M00254_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxs1
118	M00255_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxp4::Foxs1
119	M00256_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxp4::Foxs1
120	M00257_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxp4::Foxs1
121	M00258_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxp4::Foxs1
122	M00259_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxp4::Foxs1
123	M00260_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
124	M00261_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
