	Motif_ID	TF_Names
0	M00008_2.00	Ahctf1;Hmga1;Hmga1-rs1;Hmga2;Phf21a;Setbp1
1	M00044_2.00	Foxp3
2	M00056_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;En1;En2;Gbx1;Gbx2;Hesx1;Isx;Mixl1;Msx1;Msx2;Msx3;Nobox;Noto;Otp;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vsx1;Vsx2
3	M00060_2.00	Hsf2;Hsf4
4	M00066_2.00	Rfx1;Rfx2;Rfx3;Rfx4
5	M00070_2.00	Cic;Sox1;Sox10;Sox11;Sox12;Sox13;Sox14;Sox15;Sox17;Sox18;Sox2;Sox21;Sox3;Sox4;Sox5;Sox6;Sox7;Sox8;Sox9;Sry
6	M00111_2.00	Tfap2a;Tfap2b;Tfap2c;Tfap2d;Tfap2e
7	M00112_2.00	Tfap2a;Tfap2b;Tfap2c;Tfap2d;Tfap2e
8	M00113_2.00	Tfap2a;Tfap2b;Tfap2c;Tfap2d;Tfap2e
9	M00114_2.00	Tfap2a;Tfap2b;Tfap2c;Tfap2d;Tfap2e
10	M00115_2.00	Arid3a;Arid3b;Arid3c
11	M00116_2.00	Arid5a;Arid5b
12	M00117_2.00	Ascl1;Ascl2
13	M00118_2.00	Tcf12;Tcf3;Tcf4
14	M00119_2.00	Bhlhe40;Bhlhe41
15	M00120_2.00	Myf5;Myf6;Myog
16	M00121_2.00	Max
17	M00122_2.00	Max
18	M00123_2.00	Maf;Mafa;Mafb;Mafg;Mafk
19	M00124_2.00	Atf1;Creb1;Crem
20	M00125_2.00	Atf3;Jdp2
21	M00126_2.00	Maf;Mafa;Mafb;Mafg;Mafk
22	M00127_2.00	EDL38120.1
23	M00128_2.00	Bcl6b
24	M00129_2.00	Glis2
25	M00130_2.00	Plagl1
26	M00131_2.00	Zscan26
27	M00132_2.00	Osr1;Osr2
28	M00133_2.00	Sp1;Sp3;Sp4;Sp5;Sp8;Sp9
29	M00134_2.00	Klf1;Klf12;Klf2;Klf3;Klf4;Klf5;Klf6;Klf7
30	M00135_2.00	Zbtb7b
31	M00136_2.00	Mtf1
32	M00137_2.00	Zic1;Zic2;Zic3;Zic4
33	M00138_2.00	Egr1
34	M00139_2.00	Zfp281
35	M00140_2.00	Zfp410
36	M00141_2.00	Hic1;Hic2
37	M00142_2.00	Zfp691
38	M00143_2.00	Zfp740
39	M00144_2.00	Osr1;Osr2
40	M00145_2.00	Zbtb14
41	M00146_2.00	Zbtb12
42	M00147_2.00	Zscan4b;Zscan4c;Zscan4d;Zscan4f
43	M00148_2.00	Zfp105
44	M00149_2.00	Zfp128
45	M00150_2.00	Zic1;Zic2;Zic3;Zic4
46	M00151_2.00	Zic1;Zic2;Zic3;Zic4
47	M00152_2.00	Zbtb3
48	M00153_2.00	E2f1;E2f2;E2f3;E2f4;E2f5;E2f6
49	M00154_2.00	E2f1;E2f2;E2f3;E2f4;E2f5;E2f6
50	M00155_2.00	Elf5;Spi1;Spib;Spic
51	M00156_2.00	Ehf;Elf1;Elf2;Elf3;Elf4;Elf5;Etv6
52	M00157_2.00	Elf1;Elf2;Elf4;Elk1;Elk3;Elk4;Erf;Erg;Ets1;Ets2;Etv1;Etv2;Etv3;Etv4;Etv5;Fev;Fli1;Gabpa;XP_911724.4
53	M00158_2.00	Ehf;Elf1;Elf2;Elf3;Elf4;Elf5;Etv6;Fev
54	M00159_2.00	Elf1;Elf2;Elf4;Spdef
55	M00160_2.00	Foxc2;Foxd1;Foxd2;Foxd3;Foxg1;Foxi1;Foxi2;Foxi3;Foxj2;Foxj3;Foxk1;Foxk2;Foxp1;Foxp3;Foxp4
56	M00161_2.00	Foxj1;Foxj2
57	M00162_2.00	Foxa1;Foxa2;Foxa3;Foxb1;Foxb2
58	M00163_2.00	Foxi1;Foxj3;Foxk1;Foxk2
59	M00164_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxe3;Foxf1;Foxf2;Foxg1;Foxi1;Foxi2;Foxi3;Foxl1;Foxl2;Foxs1;Gm5294
60	M00165_2.00	Gata1;Gata2;Gata3;Gata4;Gata5;Gata6
61	M00166_2.00	Gata1;Gata2;Gata3;Gata4;Gata5;Gata6
