	Motif_ID	TF_Names
0	M00111_2.00	Tfap2a;Tfap2d
1	M00112_2.00	Tfap2b
2	M00113_2.00	Tfap2c
3	M00114_2.00	Tfap2e
4	M00115_2.00	Arid3a;Arid3c
5	M00116_2.00	Arid5a
6	M00117_2.00	Ascl2
7	M00118_2.00	Tcf3
8	M00119_2.00	Bhlhe40
9	M00120_2.00	Myf6
10	M00121_2.00	Max
11	M00122_2.00	Max
12	M00123_2.00	Mafk
13	M00124_2.00	Atf1
14	M00125_2.00	Jdp2
15	M00126_2.00	Mafb
16	M00127_2.00	EDL38120.1
17	M00128_2.00	Bcl6b
18	M00129_2.00	Glis2
19	M00130_2.00	Plagl1
20	M00131_2.00	Zscan26
21	M00132_2.00	Osr2
22	M00133_2.00	Sp4
23	M00134_2.00	Klf7
24	M00135_2.00	Zbtb7b
25	M00136_2.00	Mtf1
26	M00137_2.00	Zic1
27	M00138_2.00	Egr1
28	M00139_2.00	Zfp281
29	M00140_2.00	Zfp410
30	M00141_2.00	Hic1
31	M00142_2.00	Zfp691
32	M00143_2.00	Zfp740
33	M00144_2.00	Osr1
34	M00145_2.00	Zbtb14
35	M00146_2.00	Zbtb12
36	M00147_2.00	Zscan4b;Zscan4c;Zscan4d;Zscan4f
37	M00148_2.00	Zfp105
38	M00149_2.00	Zfp128
39	M00150_2.00	Zic2
40	M00151_2.00	Zic3
41	M00152_2.00	Zbtb3
42	M00153_2.00	E2f3
43	M00154_2.00	E2f2
44	M00155_2.00	Spi1
45	M00156_2.00	Elf3
46	M00157_2.00	Gabpa
47	M00158_2.00	Ehf
48	M00159_2.00	Spdef
49	M00160_2.00	Foxj3
50	M00161_2.00	Foxj1
51	M00162_2.00	Foxa2
52	M00163_2.00	Foxk1
53	M00164_2.00	Foxl1;Foxs1
54	M00165_2.00	Gata6
55	M00166_2.00	Gata3
56	M00167_2.00	Gata5
57	M00168_2.00	Gcm1
58	M00169_2.00	Six6
59	M00170_2.00	Nkx3-1
60	M00171_2.00	Hnf1a
61	M00172_2.00	Hoxa3
62	M00173_2.00	Irf9
63	M00174_2.00	Irf3
64	M00175_2.00	Irf4
65	M00176_2.00	Irf6
66	M00177_2.00	Irf5
67	M00178_2.00	Srf
68	M00179_2.00	Myb
69	M00180_2.00	Mybl1
70	M00181_2.00	Rxra
71	M00182_2.00	Hnf4a
72	M00183_2.00	Esrra
73	M00184_2.00	Nr2f2
74	M00185_2.00	Rara
75	M00186_2.00	Rfx4
76	M00187_2.00	Rfx7
77	M00188_2.00	Rfx3
78	M00189_2.00	Sp100
79	M00190_2.00	Gmeb1
80	M00191_2.00	Sp140;XP_001473574.2
81	M00192_2.00	Smad3
82	M00193_2.00	Tcf7
83	M00194_2.00	Hbp1
84	M00195_2.00	Cic
85	M00196_2.00	Bbx
86	M00197_2.00	Sox8
87	M00198_2.00	Tcf7l2
88	M00199_2.00	Sox17
89	M00200_2.00	Lef1
90	M00201_2.00	Sox30
91	M00202_2.00	Sox15
92	M00203_2.00	Sox5
93	M00204_2.00	Sox18
94	M00205_2.00	Sox12
95	M00206_2.00	Sox14
96	M00207_2.00	Tcf7l1
97	M00208_2.00	Sox21
98	M00209_2.00	Sox7
99	M00210_2.00	Sox11
100	M00211_2.00	Sry
101	M00212_2.00	Sox13
102	M00213_2.00	Sox4
103	M00214_2.00	Sox1
104	M00215_2.00	Eomes
105	M00216_2.00	Tbp;Tbpl2
106	M00241_2.00	Klf11
107	M00309_2.00	Hesx1
108	M00358_2.00	Pax3
109	M00363_2.00	Pou6f2
110	M00375_2.00	Egr1
111	M00379_2.00	Cux1
112	M00380_2.00	Lhx2
113	M00381_2.00	Hoxb6
114	M00382_2.00	Hoxa10
115	M00383_2.00	Hoxa4
116	M00384_2.00	Meox1
117	M00385_2.00	Nkx2-1
118	M00386_2.00	Irx2
119	M00387_2.00	Dlx3
120	M00388_2.00	Mnx1
121	M00389_2.00	Hoxc13
122	M00390_2.00	Hoxc11
123	M00391_2.00	Hoxc8
124	M00392_2.00	Hoxc6
125	M00393_2.00	Evx2
126	M00394_2.00	Hoxd13
127	M00395_2.00	Evx1
128	M00396_2.00	Otx1
129	M00397_2.00	ENSMUSG00000097200;Rhox6
130	M00398_2.00	Vax1
131	M00399_2.00	Pknox1
132	M00400_2.00	Phox2a
133	M00401_2.00	Phox2b
134	M00402_2.00	Alx3
135	M00403_2.00	Hoxa2;Hoxb2
136	M00404_2.00	Nkx2-5
137	M00405_2.00	Lhx1
138	M00406_2.00	Lhx9
139	M00407_2.00	Meis1
140	M00408_2.00	Hnf1b
141	M00409_2.00	Dlx4
142	M00410_2.00	Hoxb9
143	M00411_2.00	ENSMUSG00000097436;Gsc;Rhox9
144	M00412_2.00	Six6
145	M00413_2.00	Barx1
146	M00414_2.00	Msx2
147	M00415_2.00	Pitx1
148	M00416_2.00	Irx4
149	M00417_2.00	Otp
150	M00418_2.00	Otx2
151	M00419_2.00	Hmbox1
152	M00420_2.00	Nkx3-1
153	M00421_2.00	Hoxc10
154	M00422_2.00	Hoxc5
155	M00423_2.00	Dlx2
156	M00424_2.00	Esx1
157	M00425_2.00	Six2
158	M00426_2.00	Rax
159	M00427_2.00	Cdx1
160	M00428_2.00	Pitx3
161	M00429_2.00	Msx3
162	M00430_2.00	Lhx4
163	M00431_2.00	Prrx1
164	M00432_2.00	Lmx1a
165	M00433_2.00	Barhl1
166	M00434_2.00	Lhx6
167	M00435_2.00	Lhx3
168	M00436_2.00	Hoxd8
169	M00437_2.00	Meis2
170	M00438_2.00	Nkx2-2
171	M00439_2.00	Shox2
172	M00440_2.00	Pitx2
173	M00441_2.00	Dmbx1
174	M00442_2.00	Nkx1-1
175	M00443_2.00	Uncx
176	M00444_2.00	Hnf1a
177	M00445_2.00	Lhx5
178	M00446_2.00	Pdx1
179	M00447_2.00	Cdx2
180	M00448_2.00	Nobox
181	M00449_2.00	Dlx5
182	M00450_2.00	Hoxa1
183	M00451_2.00	Dbx1
184	M00452_2.00	Isx
185	M00453_2.00	Irx1;Irx3
186	M00454_2.00	Irx3
187	M00455_2.00	Irx5
188	M00456_2.00	Irx6
189	M00457_2.00	Barx2
190	M00458_2.00	Isl2
191	M00459_2.00	Vsx1
192	M00460_2.00	Barhl2
193	M00461_2.00	Six4
194	M00462_2.00	Gbx2
195	M00463_2.00	Hdx
196	M00464_2.00	Vax2
197	M00465_2.00	Lbx2
